Designator,Mid X,Mid Y,Rotation,Layer
C1,88.9,-110.49,0.0,top
C10,142.24,-107.95,180.0,top
C11,105.41,-127.0,90.0,top
C12,119.7,-127.0,180.0,top
C13,94.805,-134.62,0.0,top
C14,135.89,-133.35,270.0,top
C16,134.62,-133.35,270.0,top
C2,101.6,-118.78,270.0,top
C3,104.14,-119.38,270.0,top
C4,81.6,-116.9725,180.0,top
C5,81.6,-129.54,180.0,top
C6,80.96,-102.87,0.0,top
C7,127.0,-134.62,0.0,top
C8,127.0,-132.08,0.0,top
C9,118.43,-123.19,0.0,top
D1,93.98,-129.54,90.0,top
D2,135.89,-125.73,90.0,top
FID1,147.32,-127.0,0.0,top
FID2,87.63,-101.6,0.0,top
FID3,88.9,-134.62,0.0,top
LS1,143.51,-115.57,270.0,top
Q1,140.65,-125.73,90.0,top
R1,72.07,-115.7025,270.0,top
R10,74.93,-126.0875,270.0,top
R12,72.07,-126.0875,270.0,top
R15,76.2,-121.92,90.0,top
R2,139.7,-132.08,90.0,top
R3,71.12,-107.95,90.0,top
R4,70.6725,-102.87,180.0,top
R5,78.74,-110.8475,90.0,top
R6,78.74,-121.92,90.0,top
R7,112.6725,-135.89,0.0,top
R8,119.7375,-130.81,180.0,top
R9,134.62,-116.32,270.0,top
RV1,100.33,-128.27,270.0,top
RV2,130.81,-124.46,270.0,top
SW1,63.5,-122.42,270.0,top
U1,90.17,-106.975,180.0,top
U2,82.55,-113.1625,90.0,top
U3,82.55,-125.73,90.0,top
U5,116.84,-109.22,0.0,top
U6,111.825,-127.0,270.0,top
